name,environmental,social,governance,composite
S. Salvatore (Benedictine),26.1,65,28.3,40.4
S. Procopio “de Sao” (Benedictine),37.4,65,36.2,46.7
S. Giacomo,57.4,45,50.2,50.9
S. Giacomo di Cuti,35.2,65,34.6,45.4
Santissima Trinità (Sannicandro di Bari),14.9,65,20.4,34.1
S. Giovanni Battista,49.9,65,44.9,53.7
Gornjak Monastery,36.3,45,35.4,39.1
S. Maria Magdalena vor Schottentor,16.5,65,21.5,35.0
S. Jakob auf der HÃ¼lben,33.3,75,40.0,49.9
Himmelpforte (St Agnes),30.8,75,34.8,47.5
Sopron Mantellate at St Michael,8.8,75,16.2,34.2
Mailberg Castle,49.5,55,44.6,50.0
Malteserkirche,40.3,55,38.2,44.8
S. Maria d'Issac,3.5,65,12.4,27.7
S. Bartolomeo di Carbonara (Bari–Carbonara),37.0,45,35.9,39.5
S. Arcangelo (Monte Sant’Angelo),28.0,65,29.6,41.4
Manfredonia,14.2,65,19.9,33.7
Askeby Abbey nuns,20.2,65,24.1,37.0
Abbazia della Santissima Trinità,53.1,55,47.2,52.0
Vrana Fortress,25.4,55,27.8,36.5
S. Bothan's,22.9,65,26.0,38.6
Lubań–Nowogród (Nowogrodziec),19.8,45,23.8,29.8
S. Nicola delle Monache (Benedictine),39.9,65,37.9,48.1
Ricetta di Malta,2.5,55,11.7,23.6
Marienthal,16.6,65,21.6,35.0
Riseberga Abbey nuns,19.9,65,23.9,36.9
Benvello,38.2,65,36.7,47.1
Alvastra Abbey monks,22.5,45,25.7,31.3
S. Maria della Carita,17.0,75,21.9,38.8
Il-Palazz tal-Granmastru,15.1,55,20.6,30.7
Grandmaster's Palace (Valletta),13.0,55,19.1,29.5
Monasterium fratrum sacco-rum in platea Fori,1.0,45,10.7,19.3
S. Maria della Consolazione (Benedictine),61.3,65,52.9,60.1
S. Chiara (Sulmona),34.1,65,33.9,44.9
S. Savino,4.0,45,12.8,21.0
S. Giuliano,13.9,65,19.7,33.5
S. Maria di Leveriano sull’Aso (Benedictine),43.7,65,40.6,50.2
S. Maria delle Monache,47.5,65,43.2,52.3
S. Bernardo,15.8,45,21.0,27.6
S. Margherita (Montegranaro),32.0,65,32.4,43.7
S. Chiara di Sora,36.9,65,35.8,46.4
Boitzenburg,14.9,75,20.4,37.6
Notre Dame de Monte S. Giusto,43.9,65,40.7,50.3
S. Michele,22.1,75,25.5,41.6
S. Angelo di Voltorino,45.5,45,41.8,44.2
"Ascoli-Piceno, ""Cella femminile""",46.2,65,42.3,51.6
"S Maria, Matteo & Antonio (Ascoli)",32.8,65,32.9,44.1
S. Maria del Donne,14.5,75,20.1,37.4
S. Caterina,17.1,65,22.0,35.3
Maria della Rose,74.5,65,62.1,67.5
Monastero dell’Eucaristia (L’Aquila),20.4,45,24.3,30.2
S. Giorgio (Alvaneto),23.3,45,26.3,31.8
S. Lucia (San Ginesio),34.8,65,34.3,45.2
S. Maria delle Canne,2.6,65,11.8,27.2
S. Angelo di Orsano,11.0,65,17.7,31.9
S. Amadea,3.4,65,12.4,27.7
S. Benedettino,22.4,65,25.7,38.3
Monte Acuti (Cingoli),10.1,65,17.1,31.4
S. Marcus,46.8,65,42.8,52.0
S Maria di Chiaravalle (Fiastra),37.2,65,36.0,46.6
S. Maria di Viano,9.8,65,16.8,31.2
S. Girolamo,12.2,65,18.5,32.6
S. Gregorio de Dinazzano (Camerino),29.2,65,30.4,42.1
Millstatt Abbey,22.4,55,25.7,34.8
Petersfrauen,26.6,75,42.3,48.2
"Nonnberg (Nunberg, Nonberg) Abbey",73.8,75,64.0,71.3
S. Trinità (Benedictine),55.9,65,49.1,57.0
S. Filipo,13.1,65,19.2,33.1
S. Maria Maddalena,5.3,65,13.7,28.7
S. Maria in Colle,10.5,65,17.3,31.6
Corpus Domini,16.5,65,21.5,35.0
S. Angelo in Fossis,0.4,65,10.3,26.0
S. Paolo,22.8,65,25.9,38.5
S. Vittore delle Chiuse,28.5,45,29.9,34.7
S. Marco,4.0,65,12.8,28.0
S. Maria Appenino,30.4,75,31.3,46.3
S. Margherita,14.4,75,40.1,43.3
S. Maria delle Vergini,24.4,65,27.1,39.4
S Salvatore di Valdicastro & S Biagio,45.5,65,41.8,51.2
S. Maria di Valdisasso,62.7,65,53.9,60.9
Monastero delle Benedettine Camaldolesi,37.1,65,36.0,46.5
S. Pietro di Paliano,3.9,65,12.7,27.9
S. Benedetto di Roiate,9.0,45,16.3,23.8
S. Maria di Certosa,14.8,65,20.3,34.0
S. Maria in Sextuno,21.5,65,25.0,37.8
S. Angelo in Narnate (Rieti),57.9,65,50.5,58.2
S. Chiara (Rieti),32.7,65,32.9,44.1
S. Pietro de Molito,38.0,75,36.6,50.5
Monastero di Fonte Avellana,56.0,45,49.2,50.1
S. Maria de Monteluco (Clares),45.2,65,41.6,51.0
S. Giovanni delle Poelle,7.3,65,15.1,29.8
S Apollonia (Foligno),30.4,65,31.3,42.8
S. Maria di Betlem,15.2,65,20.6,34.2
S. Caterina de Monte Sinai,13.7,65,19.6,33.4
"S. Agnese (Clares, Foligno)",22.9,65,26.0,38.6
S. Lucia,36.1,65,35.3,46.0
Santa Maria di Vallegloria,14.4,65,20.1,33.8
S. Rocco (Franciscan),41.1,45,38.8,41.8
S. Chiara,18.4,65,22.9,36.1
S. Giacomo de Murorupto,9.4,65,16.6,31.0
S. Paolo delle Abbadesse,15.3,65,22.9,35.0
S. Caterina della Picaia,18.9,65,23.2,36.3
S. Apollinare,30.2,65,33.3,43.3
S. Donato di Flebulle (Assisi),32.5,45,49.4,41.9
S. Giovanni delle Rocche (Assisi),22.8,65,25.9,38.5
S. Croce al Ponte dei Galli,16.7,65,21.7,35.1
Benedetta,32.2,65,32.5,43.8
"Franciscan Friary, Helsingør",6.5,45,14.5,22.4
Monastero delle Romite Camaldolesi di San Secondo,37.1,65,36.0,46.5
Sankt Clara Kloster,1.9,75,11.3,30.3
San Paolo delle Abbadesse,14.3,75,20.0,37.3
Heiligengrabe,14.7,75,20.3,37.5
Romans,24.8,65,27.4,39.6
S. Spirito,23.7,45,26.6,32.0
S. Stefano Maggiore,11.6,65,18.1,32.2
S. Sebastiano in Catacumbas,23.5,65,26.4,38.9
"S. Salvatore ""ad duos amantes""",10.2,65,17.1,31.4
S. Maria in Cannella,5.6,65,13.9,28.9
S. Maria sopra Minerva,29.5,65,30.6,42.3
"S. Pancrazio sulla Via Aurelia, al Gianicolo",9.8,45,16.8,24.2
S. Urbano in Campo Carleo,9.4,65,16.6,31.0
S. Maria della Massima,79.4,65,65.6,70.2
S. Cecilia in Trastevere,29.8,65,30.8,42.4
S. Maria in Campo Marzio,63.1,65,54.2,61.1
S. Francesca Romana a Tor de’ Specchi (Rome),33.3,65,33.3,44.4
San Gregorio Magno al Celio,23.9,45,26.7,32.1
Monastero di Sant'Antonio Abate (Rome),37.1,65,36.0,46.5
S. Pietro in Montorio,4.0,45,12.8,21.0
Seligenporten,17.6,75,22.3,39.1
S. Maria de Eula,22.1,65,25.5,38.1
S. Cosma e S. Damiano in Mica Aurea,32.4,65,32.7,43.9
Montesanto (Cuti),35.5,65,34.8,45.6
S. Domenico e S. Sisto,40.8,65,38.6,48.6
"Rome, Ad Luna (early Christian site)",88.1,65,71.7,75.1
S. Maria della Concezione,32.7,65,32.9,44.1
San Girolamo della Carità,16.0,65,21.2,34.7
Casa dei Cavalieri di Rodi,37.0,55,35.9,43.0
S. Maria del Ponte,11.4,65,18.0,32.1
"S. Tommaso, Benedictine",17.2,65,22.0,35.4
S. Tommaso,12.0,65,18.4,32.5
S. Francisco,8.1,65,15.7,30.3
Marienbronn,32.9,65,33.0,44.2
S. Maria dentro la CittÃ,2.4,65,11.7,27.1
S. Caterina della Scala (Todi),25.0,45,27.5,32.8
S. Petronilla,11.2,45,17.8,25.0
Maggiore di Monte Mascarano,10.0,65,17.0,31.4
S. Maria di Montecristo,30.7,65,31.5,42.9
S. Giovanni di Paragnano (Todi),37.3,65,36.1,46.6
S. Antonio Abate,23.8,65,26.6,39.1
"S. Sperandio, Perugia",30.2,65,31.1,42.6
S. Angelo de Arenaria,0.2,65,10.1,25.8
S. Maria di Valverde,17.0,75,21.9,38.8
S. Giorgio,7.5,45,15.2,22.9
S. Maria di Valfabbrica,4.8,65,13.3,28.4
S. Galgano,6.8,45,14.7,22.5
S. Giovanni di Columbella,4.1,45,12.9,21.1
S. Maria Colomata,15.6,75,20.9,38.0
S. Caterina Vecchia,21.6,65,25.1,37.8
S. Maria Annunziata di Monte Corneo (Benedictine),26.3,65,28.4,40.5
S. Giuliana,31.3,65,31.9,43.3
S. Francesco delle Donne,31.6,45,32.1,36.4
S. Antonio da Padova convent (Perugia),33.7,65,33.6,44.6
Monna Simone,0.3,75,10.2,29.4
S. Zaccaria (Benedictine),55.1,75,48.6,60.1
San Michele in Isola,19.2,45,23.4,29.5
San Girolamo dei Gesuati,17.9,65,22.5,35.8
Penitenti mulieres quae dicuntur de sacco,1.1,45,10.8,19.4
"San Giovanni di Malta, Venice",47.2,55,43.0,48.7
Tutti i Santi,13.3,65,19.3,33.2
S. Sperandio,0.7,65,10.5,26.1
S. Basilio,9.0,65,16.3,30.8
S. Maria de Pupula,5.9,65,14.1,29.0
S. Maria Maddalena and S. Martha,9.4,65,16.6,31.0
S. Maria in Trastevere,17.0,65,21.9,35.3
S. Cecilia,13.2,65,19.2,33.1
Altenhohenau,32.0,65,32.4,43.7
Slangerup Abbey,21.6,65,25.1,37.8
Seligenthal,32.1,75,32.5,47.2
S. Maria della Fonte fuori della Porta S. Maria,2.5,65,11.7,27.1
S. Maria in Volturna,4.5,65,13.1,28.3
S. Fortunato,2.3,65,11.6,27.0
S. Maria del Paradiso,9.3,65,16.5,31.0
S Trinità (Orvieto),34.9,65,34.4,45.3
S. Maria,29.1,65,30.4,42.1
S. Maria Maddalena (Benedictine),30.3,65,31.2,42.7
S. Michele Archangelo,28.4,45,29.9,34.7
S. Croce,28.9,65,30.2,41.9
S. Chiara di Cortona,17.5,65,22.2,35.5
S. Lorenz,25.6,75,33.2,45.2
Holthausen,31.9,65,32.3,43.6
S. Caterina in Arezzo,26.7,65,28.7,40.7
S. Agostino alla Ginestra,39.3,45,37.5,40.8
Immacolata Concezione (Arezzo),26.6,45,28.6,33.6
Sacro Eremo e Monastero di Camaldoli,57.0,45,49.9,50.7
S. Maria de Gavillione e S. Juliana (Clares),30.9,65,31.6,43.0
S. Marienstern,43.7,75,40.6,53.7
Brixen,17.9,65,22.5,35.8
Blankenburg,15.8,65,21.0,34.6
Huysburg,18.4,45,22.9,29.1
Hadmersleben,47.8,45,43.4,45.5
Himmelkron,15.1,65,20.6,34.2
Pfäffikonkloster,29.1,65,30.4,42.1
Marienstuhl,30.9,65,31.6,43.0
Helfta,17.8,75,22.4,39.2
S. Antimo,42.8,45,39.9,42.7
Rinchiuse di Figline Valdarno,33.1,65,33.2,44.3
Hohenwart,46.2,75,42.3,55.1
S. Barbara,19.1,65,23.4,36.5
Antvorskov Kloster,20.9,55,24.6,33.9
S. Caterina di Quarto,4.8,65,13.3,28.4
