source,target,order,distance_km,shared_period
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,52.8,360-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,52.8,400-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,52.8,704-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),Deir El Shohada,Coptic Orthodox ,98.4,350-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,48.4,400-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,106.3,470-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,106.3,350-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,106.3,450-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,106.3,380-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),Monastery of the Martyrs of Akhmim,Coptic Orthodox ,106.3,400-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),White Monastery,Coptic Orthodox ,111.1,385-800
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,111.1,350-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),Red Monastery,Coptic Orthodox ,111.1,350-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),Atripe,Coptic Orthodox ,111.1,400-2025
Prophet Jeremiah Coptic Monastery (Qamula–Qena),St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,109.7,450-2025
Holy Cross Coptic Orthodox Monastery,St. Pisentius Coptic Orthodox Monastery,Coptic Orthodox ,0.0,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,52.8,None
Holy Cross Coptic Orthodox Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,52.8,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,52.8,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,52.8,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,52.8,1243-2025
Holy Cross Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,98.4,1243-2025
Holy Cross Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,48.4,1243-2025
