source,target,order,distance_km,shared_period
St. Moses the Black Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,131.5,400-1000
St. Moses the Black Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,131.5,400-1000
St. Moses the Black Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,135.0,400-800
St. Moses the Black Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,135.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,135.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,135.0,400-1000
St. Moses the Black Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,125.0,450-1000
St. Pachomius Coptic Orthodox Monastery,St. Theodore the Warrior Coptic Orthodox Monastery,Coptic Orthodox ,0.0,360-2025
St. Pachomius Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-2025
St. Pachomius Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,0.0,704-2025
St. Pachomius Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,45.7,340-2025
St. Pachomius Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,55.5,400-2025
St. Pachomius Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,131.5,470-2025
St. Pachomius Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,131.5,350-2025
St. Pachomius Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,131.5,450-2025
St. Pachomius Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,131.5,380-2025
St. Pachomius Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,131.5,400-2025
St. Pachomius Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,135.0,385-800
St. Pachomius Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,135.0,350-2025
St. Pachomius Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,135.0,350-2025
St. Pachomius Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,135.0,400-2025
St. Pachomius Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,125.0,450-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Wannas Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,0.0,704-2025
St. Theodore the Warrior Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,45.7,360-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,55.5,400-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,131.5,470-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,131.5,360-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,131.5,450-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,131.5,380-2025
St. Theodore the Warrior Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,131.5,400-2025
St. Theodore the Warrior Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,135.0,385-800
St. Theodore the Warrior Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,135.0,360-2025
St. Theodore the Warrior Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,135.0,360-2025
St. Theodore the Warrior Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,135.0,400-2025
St. Theodore the Warrior Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,125.0,450-2025
St. Wannas Coptic Orthodox Monastery,St. Matthew the Potter Coptic Orthodox Monastery,Coptic Orthodox ,0.0,704-2025
St. Wannas Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,45.7,400-2025
St. Wannas Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,55.5,400-2025
St. Wannas Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,131.5,470-2025
St. Wannas Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,131.5,400-2025
St. Wannas Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,131.5,450-2025
St. Wannas Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,131.5,400-2025
St. Wannas Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,131.5,400-2025
St. Wannas Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,135.0,400-800
St. Wannas Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,135.0,400-2025
St. Wannas Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,135.0,400-2025
St. Wannas Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,135.0,400-2025
St. Wannas Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,125.0,450-2025
St. Matthew the Potter Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,45.7,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,55.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,131.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,131.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,131.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,131.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,131.5,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,135.0,704-800
St. Matthew the Potter Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,135.0,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,135.0,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,135.0,704-2025
St. Matthew the Potter Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,125.0,704-2025
Deir El Shohada,St. Badaba Coptic Orthodox Monastery,Coptic Orthodox ,89.6,400-2025
Rila Monastery,Kremikovtsi Monastery,Bulgarian Orthodox,67.1,1350-2025
Rila Monastery,Rozhen Monastery,Bulgarian Orthodox,73.2,1250-2025
Rila Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,61.1,1345-2025
Rila Monastery,Razboishte Monastery,Bulgarian Orthodox,102.3,950-1950
Rila Monastery,Lopushna Monastery,Bulgarian Orthodox,141.0,1200-2025
Kremikovtsi Monastery,Rozhen Monastery,Bulgarian Orthodox,139.0,1350-2025
Kremikovtsi Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,17.4,1350-2025
Kremikovtsi Monastery,Razboishte Monastery,Bulgarian Orthodox,45.0,1350-1950
Kremikovtsi Monastery,Lopushna Monastery,Bulgarian Orthodox,77.0,1350-2025
Rozhen Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,129.7,1345-2025
St. Badaba Coptic Orthodox Monastery,St. George (Dair al-Hadid) Coptic Orthodox Monastery,Coptic Orthodox ,76.1,470-2025
St. Badaba Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,76.1,400-2025
St. Badaba Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,76.1,450-2025
St. Badaba Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,76.1,400-2025
St. Badaba Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,76.1,400-2025
St. Badaba Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,79.5,400-800
St. Badaba Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,79.5,400-2025
St. Badaba Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,79.5,400-2025
St. Badaba Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,79.5,400-2025
St. Badaba Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,70.5,450-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Pachomius the Martyr Coptic Orthodox Monastery,Coptic Orthodox ,0.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,0.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,0.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,0.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,5.4,470-800
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,5.4,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,5.4,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,5.4,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,24.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,89.7,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,98.0,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,133.9,470-2025
St. George (Dair al-Hadid) Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,134.4,550-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Pisada Coptic Orthodox Monastery,Coptic Orthodox ,0.0,450-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,0.0,380-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,0.0,400-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,5.4,385-800
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,5.4,350-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,5.4,350-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,5.4,400-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,24.0,450-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,89.7,350-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,98.0,450-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,133.9,350-2025
St. Pachomius the Martyr Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,134.4,550-2025
St. Pisada Coptic Orthodox Monastery,St. Thomas the Hermit Coptic Orthodox Monastery,Coptic Orthodox ,0.0,450-2025
St. Pisada Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,0.0,450-2025
St. Pisada Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,5.4,450-800
St. Pisada Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,5.4,450-2025
St. Pisada Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,5.4,450-2025
St. Pisada Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,5.4,450-2025
St. Pisada Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,24.0,450-2025
St. Pisada Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,89.7,450-2025
St. Pisada Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,98.0,450-2025
St. Pisada Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,133.9,450-2025
St. Pisada Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,134.4,550-2025
St. Thomas the Hermit Coptic Orthodox Monastery,Monastery of the Martyrs of Akhmim,Coptic Orthodox ,0.0,400-2025
St. Thomas the Hermit Coptic Orthodox Monastery,White Monastery,Coptic Orthodox ,5.4,385-800
St. Thomas the Hermit Coptic Orthodox Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,5.4,380-2025
St. Thomas the Hermit Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,5.4,380-2025
St. Thomas the Hermit Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,5.4,400-2025
St. Thomas the Hermit Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,24.0,450-2025
St. Thomas the Hermit Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,89.7,380-2025
St. Thomas the Hermit Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,98.0,450-2025
St. Thomas the Hermit Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,133.9,380-2025
St. Thomas the Hermit Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,134.4,550-2025
Monastery of the Martyrs of Akhmim,White Monastery,Coptic Orthodox ,5.4,400-800
Monastery of the Martyrs of Akhmim,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,5.4,400-2025
Monastery of the Martyrs of Akhmim,Red Monastery,Coptic Orthodox ,5.4,400-2025
Monastery of the Martyrs of Akhmim,Atripe,Coptic Orthodox ,5.4,400-2025
Monastery of the Martyrs of Akhmim,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,24.0,450-2025
Monastery of the Martyrs of Akhmim,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,89.7,400-2025
Monastery of the Martyrs of Akhmim,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,98.0,450-2025
Monastery of the Martyrs of Akhmim,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,133.9,400-2025
Monastery of the Martyrs of Akhmim,Deir el-Muharraq,Coptic Orthodox ,134.4,550-2025
White Monastery,St. Pishay Coptic Orthodox Monastery,Coptic Orthodox ,0.0,385-800
White Monastery,Red Monastery,Coptic Orthodox ,0.0,385-800
White Monastery,Atripe,Coptic Orthodox ,0.0,400-800
White Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,21.8,450-800
White Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,86.7,385-800
White Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,95.1,450-800
White Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,130.6,385-800
White Monastery,Deir el-Muharraq,Coptic Orthodox ,131.1,550-800
St. Pishay Coptic Orthodox Monastery,Red Monastery,Coptic Orthodox ,0.0,350-2025
St. Pishay Coptic Orthodox Monastery,Atripe,Coptic Orthodox ,0.0,400-2025
St. Pishay Coptic Orthodox Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,21.8,450-2025
St. Pishay Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,86.7,350-2025
St. Pishay Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,95.1,450-2025
St. Pishay Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,130.6,350-2025
St. Pishay Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,131.1,550-2025
Red Monastery,Atripe,Coptic Orthodox ,0.0,400-2025
Red Monastery,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,21.8,450-2025
Red Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,86.7,350-2025
Red Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,95.1,450-2025
Red Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,130.6,350-2025
Red Monastery,Deir el-Muharraq,Coptic Orthodox ,131.1,550-2025
Atripe,St. Michael Coptic Orthodox Monastery,Coptic Orthodox ,21.8,450-2025
Atripe,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,86.7,400-2025
Atripe,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,95.1,450-2025
Atripe,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,130.6,400-2025
Atripe,Deir el-Muharraq,Coptic Orthodox ,131.1,550-2025
St. Michael Coptic Orthodox Monastery,St. Apollo at Bawit Coptic Orthodox Monastery,Coptic Orthodox ,102.1,450-2025
St. Michael Coptic Orthodox Monastery,St. Mina Coptic Orthodox Monastery,Coptic Orthodox ,110.9,450-2025
St. Michael Coptic Orthodox Monastery,Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),Coptic Orthodox ,144.2,450-2025
St. Michael Coptic Orthodox Monastery,Deir el-Muharraq,Coptic Orthodox ,144.7,550-2025
Dragalevtsi Monastery,Razboishte Monastery,Bulgarian Orthodox,41.8,1345-1950
Dragalevtsi Monastery,Lopushna Monastery,Bulgarian Orthodox,79.9,1345-2025
Razboishte Monastery,Lopushna Monastery,Bulgarian Orthodox,41.1,1200-1950
S. Maria de Vallverd,S. Serafia (Cistercian),Cistercian,113.8,1191-1474
S. Maria de Vallverd,S. Pietro Martire,Cistercian,113.9,1404-1474
S. Maria de Vallverd,S. Maria di Banno,Cistercian,75.6,1172-1474
S. Maria de Vallverd,S. Stefano (Cistercian),Cistercian,63.6,1172-1474
S. Maria de Vallverd,"S. Agata, Cistercian",Cistercian,121.0,1262-1474
S. Maria de Vallverd,S. Andrea,Cistercian,57.8,1200-1413
S. Maria de Vallverd,S. Maria della Casa di Dio (Cistercian),Cistercian,57.8,1256-1474
S. Maria de Vallverd,S. Maria Annunziata,Cistercian,9.5,None
S. Maria de Vallverd,S. Antonio,Cistercian,12.9,1172-1474
S. Maria de Vallverd,"Le Betton (Betton-Bettonet, Savoie)",Cistercian,146.5,1172-1474
S. Maria de Vallverd,"Les Ayes (Crolles, Isère)",Cistercian,147.5,1172-1474
S. MarÃ­a de Piasca,S. Nazzaro dei Burgondi,Benedictine,123.1,982-1075
S. MarÃ­a de Piasca,"S. Sebastiano, Pozzolo Formigaro",Benedictine,108.4,941-1075
S. MarÃ­a de Piasca,S. Sebastiano,Benedictine,108.4,None
S. MarÃ­a de Piasca,Rocca delle Donne,Benedictine,99.9,None
S. MarÃ­a de Piasca,Santa Maria de Campis,Benedictine,81.2,1057-1075
S. MarÃ­a de Piasca,"S. Clemente (Lenta, Piedmont)",Benedictine,131.7,960-1075
S. MarÃ­a de Piasca,S. Lorenzo e S. Maria della Valle (Incisa Scapacciato),Benedictine,77.8,None
S. MarÃ­a de Piasca,S. Anastasio,Benedictine,70.2,1008-1075
S. MarÃ­a de Piasca,S. Anna (Asti),Benedictine,70.2,941-1075
S. MarÃ­a de Piasca,S. Maria delle Grazie (Benedictine),Benedictine,58.0,989-1075
S. MarÃ­a de Piasca,S. Pietro di Valle Rasina (Benedictine),Benedictine,71.3,941-1075
S. MarÃ­a de Piasca,S. Maria di Caramagna,Benedictine,32.9,1028-1075
S. MarÃ­a de Piasca,Santissima Trinità e S. Michele Arcangelo (Benedictine),Benedictine,22.6,1056-1075
S. MarÃ­a de Piasca,S. Pietro Puellarm,Benedictine,59.9,988-1075
S. MarÃ­a de Piasca,S. Arnolfo (Cuneo),Benedictine,21.5,None
S. MarÃ­a de Piasca,S. Maria (Benedictine),Benedictine,12.7,None
S. Pere de Burgal,S. Daniel de Galligants,Benedictine,30.0,1017-1064
S. Pere de Burgal,S. SadurnÃ­ de Collsabadell,Benedictine,80.3,998-1041
S. Pere de Burgal,S. Joan de les Abadesses,Benedictine,71.2,948-1017
S. Pere de Burgal,S. Pere de les Puelles,Benedictine,113.7,948-1064
Conception Convent,Nikolo-Perervinsky Monastery,Russian Orthodox ,0.0,1623-1927
Conception Convent,Novodevichy Convent (Moscow),Russian Orthodox ,0.0,1524-1927
Nikolo-Perervinsky Monastery,Novodevichy Convent (Moscow),Russian Orthodox ,0.0,1623-1928
St. Anthony,Ennaton Coptic Orthodox Monastery,Coptic Orthodox ,0.0,356-850
St. Anthony,St. Menas Coptic Orthodox Monastery (Egypt),Coptic Orthodox ,0.0,550-2025
St. Anthony,St. Macarius of Alexandria Coptic Orthodox Monastery,Coptic Orthodox ,0.0,360-2025
St. Anthony,El Amir Tadros El Meshreky Monastery ,Coptic Orthodox ,0.0,400-2025
St. Anthony,St. Samaan the Tanner Coptic Orthodox Monastery,Coptic Orthodox ,0.0,690-2025
St. Anthony,St. Theodore the Oriental Coptic Orthodox Monastery,Coptic Orthodox ,0.0,450-2025
St. Anthony,The Hanging Coptic Orthodox Monastery,Coptic Orthodox ,0.0,400-2025
St. Anthony,St. Paul the Anchorite Coptic Orthodox Monastery,Coptic Orthodox ,0.0,356-2025
